"","Number","Question","# of Respondents:","If What is your age (# years)? 0-17 Is Selected","If Select the title most similar to your current role (or most recent title if retired): Student Is Selected OR Select the title most similar to your current role (or most recent title if retired): Not employed Is Selected
","If How long have you been writing code to analyze data (at work or at school)? I have never written code Is Selected ","If Approximately how much money have you spent on machine learning and/or cloud computing products a... $0 (USD) Is Selected","If Which of the following ML algorithms do you use on a regular basis? (Select all that apply): Convolutional Neural Networks Is Not Selected Or Which of the following ML algorithms do you use on a regular basis? (Select all that apply): Generative Adversarial Networks Is Not Selected","If Which of the following ML algorithms do you use on a regular basis? (Select all that apply): Recurrent Neural Networks Is Not Selected Or Which of the following ML algorithms do you use on a regular basis? (Select all that apply): Transformer Networks (BERT, gpt-2, etc) Is Not Selected","If Does your current employer incorporate machine learning methods into their business? No (we do not use ML methods) Is Selected Or Does your current employer incorporate machine learning methods into their business? I do not know Is Selected"
"1","Time from Start to Finish (seconds)","Duration (in seconds)","19679","0","0","0","0","0","0","0"
"2","Q1","What is your age (# years)?","19679","0","0","0","0","0","0","0"
"3","Q2","What is your gender? - Selected Choice","19679","1","0","0","0","0","0","0"
"4","Q3","In which country do you currently reside?","19679","1","0","0","0","0","0","0"
"5","Q4","What is the highest level of formal education that you have attained or plan to attain within the next 2 years?","19285","1","0","0","0","0","0","0"
"6","Q5","Select the title most similar to your current role (or most recent title if retired): - Selected Choice","19070","1","0","0","0","0","0","0"
"7","Q6","What is the size of the company where you are employed?","13969","1","1","0","0","0","0","0"
"8","Q7","Approximately how many individuals are responsible for data science workloads at your place of business?","13591","1","1","0","0","0","0","0"
"9","Q8","Does your current employer incorporate machine learning methods into their business?","13195","1","1","0","0","0","0","0"
"10","Q9","Select any activities that make up an important part of your role at work: (Select all that apply) - Selected Choice","9202","1","1","0","0","0","0","1"
"11","Q10","What is your current yearly compensation (approximate $USD)?","12465","1","1","0","0","0","0","0"
"12","Q11","Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?","12218","1","1","0","0","0","0","0"
"13","Q12","Who/what are your favorite media sources that report on data science topics? (Select all that apply) - Selected Choice","16745","1","0","0","0","0","0","0"
"14","Q13","On which platforms have you begun or completed data science courses? (Select all that apply) - Selected Choice","16533","1","0","0","0","0","0","0"
"15","Q14","What is the primary tool that you use at work or school to analyze data? (Include text response) - Selected Choice","15654","1","0","0","0","0","0","0"
"16","Q15","How long have you been writing code to analyze data (at work or at school)?","15591","1","0","0","0","0","0","0"
"17","Q16","Which of the following integrated development environments (IDE's) do you use on a regular basis?  (Select all that apply) - Selected Choice","14592","1","0","1","0","0","0","0"
"18","Q17","Which of the following hosted notebook products do you use on a regular basis?  (Select all that apply) - Selected Choice","14408","1","0","1","0","0","0","0"
"19","Q18","What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice","14369","1","0","1","0","0","0","0"
"20","Q19","What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice","14342","1","0","1","0","0","0","0"
"21","Q20","What data visualization libraries or tools do you use on a regular basis?  (Select all that apply) - Selected Choice","14218","1","0","1","0","0","0","0"
"22","Q21","Which types of specialized hardware do you use on a regular basis?  (Select all that apply) - Selected Choice","14183","1","0","1","0","0","0","0"
"23","Q22","Have you ever used a TPU (tensor processing unit)?","14168","1","0","1","0","0","0","0"
"24","Q23","For how many years have you used machine learning methods?","14147","1","0","1","0","0","0","0"
"25","Q24","Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice","14053","1","0","1","0","0","0","0"
"26","Q25","Which categories of ML tools do you use on a regular basis?  (Select all that apply) - Selected Choice","13880","1","0","1","0","0","0","0"
"27","Q26","Which categories of computer vision methods do you use on a regular basis?  (Select all that apply) - Selected Choice","5477","1","0","1","0","1","0","0"
"28","Q27","Which of the following natural language processing (NLP) methods do you use on a regular basis?  (Select all that apply) - Selected Choice","3572","1","0","1","0","0","1","0"
"29","Q28","Which of the following machine learning frameworks do you use on a regular basis? (Select all that apply) - Selected Choice","13718","1","0","1","0","0","0","0"
"30","Q29","Which of the following cloud computing platforms do you use on a regular basis? (Select all that apply) - Selected Choice","7105","1","0","1","1","0","0","0"
"31","Q30","Which specific cloud computing products do you use on a regular basis? (Select all that apply) - Selected Choice","7080","1","0","1","1","0","0","0"
"32","Q31","Which specific big data / analytics products do you use on a regular basis? (Select all that apply) - Selected Choice","7058","1","0","1","1","0","0","0"
"33","Q32","Which of the following machine learning products do you use on a regular basis? (Select all that apply) - Selected Choice","7030","1","0","1","1","0","0","0"
"34","Q33","Which automated machine learning tools (or partial AutoML tools) do you use on a regular basis?  (Select all that apply) - Selected Choice","6995","1","0","1","1","0","0","0"
"35","Q34","Which of the following relational database products do you use on a regular basis? (Select all that apply) - Selected Choice","6974","1","0","1","1","0","0","0"
